module,members,admitted_genes,calls,supported,terms
5071,CHEK2; MDM2; PPM1D; TP53; USP7,MDM2; TP53; USP7,18,2,GO:0001046 core promoter sequence-specific DNA binding; GO:0001221 transcription cofactor binding; GO:0002309 T cell proliferation involved in immune response; GO:0010216 maintenance of DNA methylation; GO:0070245 positive regulation of thymocyte apoptotic process; GO:0071494 cellular response to UV-C *; GO:1901525 negative regulation of mitophagy; GO:1902749 regulation of cell cycle G2/M phase transition; GO:0033612 receptor serine/threonine kinase binding
792,CDS2; CHMP3; CHMP4B; INPP5A; VRK1,CDS2; CHMP3; INPP5A,11,1,GO:0000815 ESCRT III complex; GO:0090148 membrane fission; GO:0090611 ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway; GO:1902188 positive regulation of viral release from host cell; GO:0050792 regulation of viral process *
4493,CDC42; CTNNA1; MLLT4; PARD6B; RAPGEF2; TP53BP2,CTNNA1; TP53BP2,11,0,GO:0003161 cardiac conduction system development; GO:0017034 Rap guanyl-nucleotide exchange factor activity; GO:0021884 forebrain neuron development; GO:0060501 positive regulation of epithelial cell proliferation involved in lung morphogenesis; GO:2000481 positive regulation of cAMP-dependent protein kinase activity; GO:0071681 cellular response to indole-3-methanol
3178,DDX21; DNAJC2; HSPA14; NCL; PINX1,DDX21; DNAJC2; NCL,11,0,GO:0006450 regulation of translational fidelity; GO:0044547 DNA topoisomerase binding; GO:1902570 protein localization to nucleolus; GO:1904751 positive regulation of protein localization to nucleolus
4091,BIRC2; CYLD; N4BP1; TRAF2; TRAF3,BIRC2; N4BP1; TRAF2,9,4,GO:0031996 thioesterase binding; GO:0035631 CD40 receptor complex *; GO:0060544 regulation of necroptotic process *; GO:0097300 programmed necrotic cell death *; GO:0034121 regulation of toll-like receptor signaling pathway; GO:1902527 positive regulation of protein monoubiquitination
3710,IL6ST; JAK1; LIFR; SLC39A1; STAT3,IL6ST; JAK1,8,4,GO:0034112 positive regulation of homotypic cell-cell adhesion; GO:0060019 radial glial cell differentiation; GO:0070106 interleukin-27-mediated signaling pathway *; GO:0070757 interleukin-35-mediated signaling pathway *; GO:0150105 protein localization to cell-cell junction
5036,CDKN1A; TP53; TP53BP1; UBE2K; USP28,CDKN1A; TP53,8,0,GO:0001046 core promoter sequence-specific DNA binding; GO:0001221 transcription cofactor binding; GO:0002309 T cell proliferation involved in immune response; GO:0010994 free ubiquitin chain polymerization; GO:0070245 positive regulation of thymocyte apoptotic process; GO:1901525 negative regulation of mitophagy; GO:1902749 regulation of cell cycle G2/M phase transition
4150,DDX21; HSPA14; NCL; NOLC1; PINX1,DDX21; NCL,8,0,GO:0001042 RNA polymerase I core binding; GO:0007000 nucleolus organization; GO:0031428 box C/D snoRNP complex; GO:0042306 regulation of protein import into nucleus
1483,AIM1; FREM1; KAT2B; MXI1; NFKBIZ; PIGQ,MXI1; PIGQ,7,0,"GO:0000125 PCAF complex; GO:0004468 lysine N-acetyltransferase activity, acting on acetyl phosphate as donor; GO:0017176 phosphatidylinositol N-acetylglucosaminyltransferase activity; GO:0061733 peptide-lysine-N-acetyltransferase activity"
1963,BIRC2; BIRC8; TRIM34; TRIM5; TRIM6,BIRC2; BIRC8,6,2,GO:0010994 free ubiquitin chain polymerization; GO:1990001 inhibition of cysteine-type endopeptidase activity involved in apoptotic process *; GO:0034121 regulation of toll-like receptor signaling pathway; GO:1902527 positive regulation of protein monoubiquitination
